Unnamed: 0,author_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd,cleaned_text,text_length,sentiment,sentiment_score,sentiment_numeric
0,1741593524,5,1.0,1.0,2,0,2,2023-02-01,"I use this with the Nudestix “Citrus Clean Balm & Make-Up Melt“ to double cleanse and it has completely changed my skin (for the better). The make-up melt is oil based and removes all of your makeup super easily. I follow-up with this water based cleanser, and I also use this just by itself when I’m not wearing make-up. It leaves the skin gently cleansed, but without stripping the skin. 10/10 recommend combining with the make-up melt. It’s perfection!",Taught me how to double cleanse!,,brown,dry,black,P504322,Gentle Hydra-Gel Face Cleanser,NUDESTIX,19.0,"I use this with the Nudestix Citrus Clean Balm Make-Up Melt to double cleanse and it has completely changed my skin for the better . The make-up melt is oil based and removes all of your makeup super easily. I follow-up with this water based cleanser, and I also use this just by itself when I m not wearing make-up. It leaves the skin gently cleansed, but without stripping the skin. 10 10 recommend combining with the make-up melt. It s perfection!",450,POSITIVE,0.9860892295837402,1
1,31423088263,1,0.0,,0,0,0,2023-03-21,"I bought this lip mask after reading the reviews and the hype. Unfortunately, it did not meet my expectations as vaseline petroleum jelly works way better for me.",Disappointed,,,,,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0,"I bought this lip mask after reading the reviews and the hype. Unfortunately, it did not meet my expectations as vaseline petroleum jelly works way better for me.",162,NEGATIVE,0.9995213747024536,-1
2,5061282401,5,1.0,,0,0,0,2023-03-21,My review title says it all! I get so excited to get into bed and apply this lip mask. I do see a difference because I suffer from dry cracked lips. I drink a lot of water and apply lip balm daily but nothing helped until I started using this. untiluntistafted usinf this.,New Favorite Routine,light,brown,dry,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0,My review title says it all! I get so excited to get into bed and apply this lip mask. I do see a difference because I suffer from dry cracked lips. I drink a lot of water and apply lip balm daily but nothing helped until I started using this. untiluntistafted usinf this.,272,NEGATIVE,0.9977084398269653,-1
3,6083038851,5,1.0,,0,0,0,2023-03-20,I’ve always loved this formula for a long time. I honestly don’t even use it for night time. I use it as an everyday lip balm. I love the texture. Gummy Bear is my second most favourite scent. Grapefruit is the best in my opinion.,Can't go wrong with any of them,,brown,combination,black,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0,I ve always loved this formula for a long time. I honestly don t even use it for night time. I use it as an everyday lip balm. I love the texture. Gummy Bear is my second most favourite scent. Grapefruit is the best in my opinion.,230,POSITIVE,0.9996746778488159,1
4,47056667835,5,1.0,,0,0,0,2023-03-20,"If you have dry cracked lips, this is a must have. After a few weeks of use I have learned I will always have by my bedside. I thought it was a little expensive but a little goes a long way. It is worth the price.",A must have !!!,light,hazel,combination,,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0,"If you have dry cracked lips, this is a must have. After a few weeks of use I have learned I will always have by my bedside. I thought it was a little expensive but a little goes a long way. It is worth the price.",213,POSITIVE,0.9930551648139954,1
5,42802569154,4,1.0,1.0,1,0,1,2023-03-19,"The scent isn’t my favourite but it works great! I put it on every night before I go to sleep and every morning I wake up with smooth, moisturizer and soft. Packaging is amazing as well",Great!,lightMedium,brown,normal,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0,"The scent isn t my favourite but it works great! I put it on every night before I go to sleep and every morning I wake up with smooth, moisturizer and soft. Packaging is amazing as well",185,POSITIVE,0.9998767375946045,1
6,6941883808,2,0.0,0.25,8,6,2,2023-03-19,"I’ll give this 2 stars for nice packaging and lovely scent. Upon initial application, it feels very nice. But as I continued to use it I noticed I was getting more and more blackheads/clogged pores and pimples around my lips. I thought it was my Aquaphor but it’s THIS!!!! It also makes my lips even more dry than they initially were. Disappointing:( around my",Dried my lips out and clogged my pores,light,blue,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0,"I ll give this 2 stars for nice packaging and lovely scent. Upon initial application, it feels very nice. But as I continued to use it I noticed I was getting more and more blackheads clogged pores and pimples around my lips. I thought it was my Aquaphor but it s THIS!!!! It also makes my lips even more dry than they initially were. Disappointing around my",358,NEGATIVE,0.9958672523498535,-1
7,27926227988,5,1.0,,0,0,0,2023-03-19,I use this at night or while I’m putting makeup on. Love the way I don’t have to reapply it during the night. Definitely a win.,Works great,fairLight,brown,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0,I use this at night or while I m putting makeup on. Love the way I don t have to reapply it during the night. Definitely a win.,127,POSITIVE,0.9998286962509155,1
8,7656791726,5,1.0,1.0,1,0,1,2023-03-18,"I love this stuff. I first had the sample size from a Sephora Birthday gift, and once I had run through it I knew it was a purchase. I live in an incredibly dry environment, great for macarons, but terrible for my skin. This lip mask helps to keep my lips from becoming too chapped.",Must have.,light,blue,normal,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0,"I love this stuff. I first had the sample size from a Sephora Birthday gift, and once I had run through it I knew it was a purchase. I live in an incredibly dry environment, great for macarons, but terrible for my skin. This lip mask helps to keep my lips from becoming too chapped.",282,POSITIVE,0.986344575881958,1
9,38727834382,5,1.0,1.0,2,0,2,2023-03-18,"I purchased the Sweet Candy scent at my local Sephora and I am OBSESSED!! I will be honest, the scent is a bit strong - but they’re all strongly scented. My lips are so soft. 10/10!",RUN TO PURCHASE,light,brown,normal,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0,"I purchased the Sweet Candy scent at my local Sephora and I am OBSESSED!! I will be honest, the scent is a bit strong - but they re all strongly scented. My lips are so soft. 10 10!",181,POSITIVE,0.9990829229354858,1
