product_category,sentiment_mean,sentiment_std,review_count,confidence_mean,confidence_std,avg_rating
Foundation,0.3326,0.9433,1933,0.9571,0.0924,4.4309
Highlighter,0.3333,0.9431,1443,0.9689,0.0798,3.9681
Bronzer/Contour,0.3978,0.9175,7174,0.9695,0.0799,4.1468
Sunscreen/SPF,0.4106,0.9118,58752,0.9687,0.0816,4.1423
Cleanser,0.474,0.8805,149647,0.9695,0.0802,4.3036
Other,0.4854,0.8743,314620,0.9704,0.0795,4.3129
Powder,0.5073,0.8619,5078,0.9705,0.0791,4.1885
Mask,0.5127,0.8586,88501,0.9688,0.0812,4.3798
Serum,0.5141,0.8577,152569,0.9713,0.0779,4.2983
Lip Balm/Treatment,0.515,0.8572,43742,0.9734,0.0757,4.325
Eye Cream,0.5173,0.8558,45883,0.9724,0.0768,4.1889
Toner,0.5491,0.8358,27572,0.9735,0.074,4.3251
Moisturizer,0.5582,0.8297,184939,0.9734,0.0754,4.3175
Tools/Brushes,0.5638,0.8263,1137,0.9738,0.0776,4.3949
Face Primer,0.564,0.8258,8724,0.9764,0.0709,4.2322
