product_id,product_name,brand_name,sentiment_mean,sentiment_std,review_count,confidence_mean,rating_mean,rating_std,recommend_rate,total_pos_feedback,total_neg_feedback,controversy_score,polarization_index,final_controversy
P232903,EradiKate Acne Treatment,Kate Somerville,0.0175,1.0,3151,0.9568,4.225,1.2499,0.7772,6280,1634,7.914816083085658,0.9825452237384957,7.914998239611248
P421275,Salicylic Acid Acne Healing Dots,Peace Out,0.0664,0.9979,4576,0.96,4.1774,1.3054,0.8111,11369,4986,7.852601618107097,0.9335664335664335,7.860722738869147
P478030,Mini Oat Cleansing Balm,The INKEY List,0.0367,0.9995,3000,0.9622,3.604,1.4638,0.6407,5913,2801,7.7089984969505005,0.9633333333333334,7.711060155695694
P455364,Oat Cleansing Balm,The INKEY List,0.0367,0.9995,3000,0.9622,3.604,1.4638,0.6407,5913,2801,7.7089984969505005,0.9633333333333334,7.711060155695694
P297517,Super Spot Remover Acne Treatment Gel,Origins,-0.0135,1.0002,1703,0.9613,3.9354,1.4056,0.7275,4401,981,7.341751859099974,0.9864944216089255,7.340997077058489
P427416,Caffeine 5% + EGCG Depuffing Eye Serum,The Ordinary,0.1088,0.9943,2114,0.9643,3.7715,1.4458,0.7029,16734,3859,6.784853783352207,0.89120151371807,6.804307263565657
P427417,Niacinamide 10% + Zinc 1% Oil Control Serum,The Ordinary,0.2118,0.9774,5775,0.961,4.2407,1.3018,0.8308,42671,10697,6.672678559976994,0.7882251082251082,6.749932035829774
P419221,Umbra Tinte Physical Daily Defense SPF 30,Drunk Elephant,0.0024,1.0006,844,0.9682,3.2962,1.6235,0.5199,3378,591,6.727196116783188,0.9976303317535544,6.725281376066203
P410400,U.F.O. Salicylic Acid BHA Acne Treatment Face Oil,Sunday Riley,0.1363,0.9909,2281,0.9564,4.1355,1.3997,0.7909,10235,2220,6.618048548662868,0.8636562911003947,6.648268210090176
P427410,Vitamin C Suspension 23% + HA Spheres 2%,The Ordinary,-0.0548,0.9989,1113,0.9564,3.4456,1.574,0.6047,12055,2943,6.6239570033267015,0.945193171608266,6.627580238569266
P419222,Umbra Sheer Physical Daily Defense SPF 30,Drunk Elephant,-0.086,0.9967,1361,0.9631,3.3115,1.4842,0.5594,4200,689,6.574305431698631,0.9140337986774432,6.585310908893609
P411540,Cicapair Tiger Grass Color Correcting Treatment SPF 30,Dr. Jart+,0.2233,0.9748,5315,0.9612,3.9895,1.3298,0.7447,21037,3688,6.49499748887523,0.7766698024459078,6.578820537576955
P467655,Succinic Acid Acne Treatment,The INKEY List,0.0413,0.9997,920,0.9666,3.8478,1.4629,0.7174,2563,905,6.541605466196936,0.958695652173913,6.542572163520848
P431181,Self-Tanning Water,Isle of Paradise,0.0634,0.9985,1072,0.9562,3.7108,1.4463,0.694,9249,2109,6.525991298860891,0.9365671641791045,6.53077857741609
P442566,Slaai  Makeup-Melting Butter Cleanser,Drunk Elephant,0.1188,0.9932,1523,0.963,3.7807,1.4815,0.6559,4930,1850,6.414480298057909,0.881155613919895,6.436276194348366
P471546,Mini Cicapair Tiger Grass Color Correcting Treatment SPF 30,Dr. Jart+,0.2344,0.9722,5029,0.9616,4.0157,1.3137,0.7536,20064,3433,6.3439384465409985,0.7655597534301053,6.4344691996983245
P403818,Lippe Balm,Drunk Elephant,0.1454,0.9896,1898,0.9668,3.736,1.3674,0.6439,4093,666,6.384351045379714,0.8545837723919916,6.417837313242419
P421432,Rapid Relief Acne Spot Treatment,Murad,0.0255,1.0005,589,0.9643,3.9321,1.4447,0.754,1968,389,6.220538126914925,0.9745331069609509,6.219089382795719
P391802,Needles No More Wrinkle Smoothing Cream,Dr. Brandt Skincare,0.0039,1.001,508,0.97,3.5197,1.6646,0.748,4604,1112,6.214349610755261,0.9960629921259843,6.211130215195116
P385432,Acne Solutions Clinical Clearing Gel,CLINIQUE,0.1113,0.9942,1078,0.9548,4.2226,1.2669,0.8462,2464,614,6.17049647610058,0.888682745825603,6.188435059347736
