Category,Count,Percentage
Application Difficulty,560,0.20577870704828818
Color/Shade Issues,573,0.21055571274762344
Packaging Issues,1751,0.6434259215027726
Misleading Claims,1915,0.7036896857097712
Longevity/Wear,3147,1.1564028412160052
Size/Quantity,5509,2.024348030587535
Smell/Fragrance,12513,4.598051716598625
Price/Value,21732,7.985683681381069
Drying Effect,30029,11.034515703487582
Ineffective/No Results,40172,14.7616825348997
Skin Reactions,54440,20.004630020908586
Texture/Consistency,59678,21.929395855763826
