insight_type,item,value,percentage
Negative Review Features,Application Difficulty,560.0,0.20577870704828818
Negative Review Features,Color/Shade Issues,573.0,0.21055571274762344
Negative Review Features,Packaging Issues,1751.0,0.6434259215027726
Negative Review Features,Misleading Claims,1915.0,0.7036896857097712
Negative Review Features,Longevity/Wear,3147.0,1.1564028412160052
Negative Review Features,Size/Quantity,5509.0,2.024348030587535
Negative Review Features,Smell/Fragrance,12513.0,4.598051716598625
Negative Review Features,Price/Value,21732.0,7.985683681381069
Negative Review Features,Drying Effect,30029.0,11.034515703487582
Negative Review Features,Ineffective/No Results,40172.0,14.7616825348997
Negative Review Features,Skin Reactions,54440.0,20.004630020908586
Negative Review Features,Texture/Consistency,59678.0,21.929395855763826
TF-IDF: 5-Star Keywords,love,0.028169683929473773,
TF-IDF: 5-Star Keywords,amazing,0.013647982703448393,
TF-IDF: 5-Star Keywords,great,0.016736401995665996,
TF-IDF: 5-Star Keywords,soft,0.011349581061186626,
TF-IDF: 5-Star Keywords,is,0.037386232949293705,
TF-IDF: 5-Star Keywords,love this,0.014321743442846792,
TF-IDF: 5-Star Keywords,smooth,0.010244859454301739,
TF-IDF: 5-Star Keywords,best,0.009024550434490792,
TF-IDF: 5-Star Keywords,my,0.056592064439579697,
TF-IDF: 5-Star Keywords,skin,0.045506094863496285,
TF-IDF: 5-Star Keywords,hydrated,0.008252415402865766,
TF-IDF: 5-Star Keywords,definitely,0.012108571181142851,
TF-IDF: 5-Star Keywords,has,0.016416665103890005,
TF-IDF: 5-Star Keywords,love it,0.008789942424407947,
TF-IDF: 5-Star Keywords,feels,0.012959433826257418,
TF-IDF: 5-Star Keywords,perfect,0.0070829467668839475,
TF-IDF: 5-Star Keywords,my skin,0.031203941073025623,
TF-IDF: 5-Star Keywords,the best,0.0069220552735970615,
TF-IDF: 5-Star Keywords,this is,0.016381210330938648,
TF-IDF: 5-Star Keywords,soft and,0.006114778025350249,
TF-IDF: 1-Star Keywords,and,0.05299964790235282,
TF-IDF: 1-Star Keywords,this,0.048119524181476164,
TF-IDF: 1-Star Keywords,not,0.03207595205073767,
TF-IDF: 1-Star Keywords,was,0.02846723511322367,
TF-IDF: 1-Star Keywords,did,0.015911403787961444,
TF-IDF: 1-Star Keywords,didn,0.015071001133895695,
TF-IDF: 1-Star Keywords,nothing,0.011670741323109976,
TF-IDF: 1-Star Keywords,broke,0.009104761731083514,
TF-IDF: 1-Star Keywords,out,0.021620208190979442,
