channel,watch_time_minutes,stream_time_minutes,peak_viewers,average_viewers,followers,followers_gained,views_gained,partnered,mature,language,tier,engagement_rate,viewer_retention,growth_rate,watch_efficiency,views_per_follower,quality_score,is_mega,is_top_quartile
xQcOW,6196161750,215250,222720,27716,3246298,1734810,93036735,True,False,English,Ultra,0.00853772512566622,0.12444324712643678,8.05951219512195,28785.885017421602,28.659332877018684,0.08075782458779072,1,1
summit1g,6091677300,211845,310998,25610,5310163,1370184,89705964,True,False,English,Ultra,0.004822827472527679,0.08234779644885176,6.467860936061744,28755.350846137506,16.893259962076495,0.05378282220602073,1,1
Gaules,5644590915,515280,387315,10976,1767635,1023779,102611607,True,True,Portuguese,Mega,0.0062094267198827815,0.02833869072976776,1.9868401645707188,10954.414910340009,58.05022360385487,0.018249447952022314,1,1
ESL_CSGO,3970318140,517740,300575,7714,3944850,703986,106546942,True,False,English,Ultra,0.0019554609173986336,0.025664143724527987,1.359728821416155,7668.555916096882,27.009123794314107,0.013541374634395163,1,1
Tfue,3671000070,123660,285644,29602,8938903,2068424,78998587,True,False,English,Ultra,0.003311592037635938,0.10363249359342398,16.726702248099627,29686.237020863657,8.837615421042157,0.08170346416983415,1,1
Asmongold,3668799075,82260,263720,42414,1563438,554201,61715781,True,False,English,Mega,0.02712867411435567,0.16082966782951616,6.737186968149769,44600.037381473376,39.474402566651186,0.10753520022868646,1,1
NICKMERCS,3360675195,136275,115633,24181,4074287,1089824,46084211,True,False,English,Ultra,0.0059350261775864095,0.20911850423322062,7.997240873234269,24660.981067694,11.310987910277307,0.12420736063938836,1,1
Fextralife,3301867485,147885,68795,18985,508816,425468,670137548,True,False,English,Large,0.037312112826640674,0.27596482302492914,2.877019305541468,22327.264327010853,1317.0528206660167,0.16737922021322924,0,0
loltyler1,2928356940,122490,89387,22381,3530767,951730,51349926,True,False,English,Ultra,0.006338849320841619,0.2503831653372414,7.769858763980733,23906.9061964242,14.543561214886171,0.14592138818378414,1,1
Anomaly,2865429915,92880,125408,12377,2607076,1532689,36350662,True,False,English,Mega,0.0047474642089451935,0.09869386323041593,16.50181955211025,30850.881944444445,13.943077225213228,0.07945272197493881,1,1
TimTheTatman,2834436990,108780,142067,25664,5265659,1244341,50119786,True,True,English,Ultra,0.004873843900639977,0.18064715943885631,11.43906048906049,26056.600386100385,9.518236178985385,0.1143942247523193,1,1
LIRIK,2832930285,128490,89170,21739,2666382,199077,50504526,True,False,English,Mega,0.008152995332251717,0.24379275541101267,1.5493579266869018,22047.865865047865,18.941219225152285,0.13281120877938948,1,1
Riot Games (riotgames),2674646715,80820,639375,20960,4487489,497678,56855694,True,False,English,Ultra,0.004670763538361876,0.03278201368523949,6.1578569660975,33093.871752041574,12.669823591768136,0.026884560519246984,1,1
